stamp_sec,stamp_nsec,stamp_ns,name,x,y,z,theta,qx,qy,qz,qw
1783948647,842816733,1783948647842816733,Pololu10,-1.070060253,-0.9609009624,0.05156398192,-0.3808696017,0.0004123939143,0.01574903913,0.1892230362,-0.9818077683
1783948647,852345823,1783948647852345823,Pololu10,-1.06876111,-0.961509943,0.05153317377,-0.3709314807,-0.003281578422,0.01218248066,0.1843284816,-0.9827837348
1783948647,862759682,1783948647862759682,Pololu10,-1.067449927,-0.9621341228,0.05155798793,-0.35676309,-0.004667969421,0.0103694899,0.1773661822,-0.9840792418
1783948647,872767008,1783948647872767008,Pololu10,-1.066408515,-0.9627014399,0.05145878345,-0.3374998199,-0.004191578366,0.01448313519,0.1678432077,-0.9856984019
1783948647,882598581,1783948647882598581,Pololu10,-1.065205812,-0.9632018209,0.0515278466,-0.3194914043,-0.001659612637,0.01541597396,0.1589876115,-0.9871588945
1783948647,892496712,1783948647892496712,Pololu10,-1.063934207,-0.9637367725,0.05146668479,-0.3046229926,-0.002444262849,0.0122245932,0.1516620368,-0.9883537889
1783948647,903603183,1783948647903603183,Pololu10,-1.062646985,-0.9641486406,0.05158209428,-0.2947087216,-0.001714373124,0.01257628109,0.1467671394,-0.9890896678
1783948647,912586503,1783948647912586503,Pololu10,-1.061386347,-0.9646716118,0.05150883272,-0.2831437478,-0.004027000628,0.01258791052,0.14101924,-0.9899187088
1783948647,922656283,1783948647922656283,Pololu10,-1.060214758,-0.9651344419,0.05149291456,-0.2712837303,-0.004682745785,0.01446750015,0.1351211071,-0.9907124639
1783948647,932602930,1783948647932602930,Pololu10,-1.058873296,-0.9655309916,0.05167216808,-0.255215156,-0.0004591750912,0.01971036568,0.1271794885,-0.9916837811
1783948647,942889947,1783948647942889947,Pololu10,-1.057558417,-0.9659241438,0.05163725466,-0.2491846718,-0.002531671897,0.01778217033,0.1241689846,-0.9920985103
1783948647,952858304,1783948647952858304,Pololu10,-1.05632782,-0.9663835168,0.0516262874,-0.2436282164,-0.004261596128,0.0138383843,0.1214227602,-0.9924952984
1783948647,962886723,1783948647962886723,Pololu10,-1.055254579,-0.9667399526,0.05156128854,-0.235156936,-0.004925248213,0.01267958898,0.1172207668,-0.9930127859
1783948647,973021688,1783948647973021688,Pololu10,-1.054161668,-0.9670231938,0.05151607096,-0.2271246535,-0.005302141886,0.01329811476,0.1132218689,-0.9934666753
1783948647,982716931,1783948647982716931,Pololu10,-1.052940488,-0.9673197269,0.05150117353,-0.2192349959,-0.004673957825,0.0130483387,0.1093123704,-0.9939108491
1783948647,992308629,1783948647992308629,Pololu10,-1.051732898,-0.9676516652,0.05153402686,-0.2100276613,-0.005045155995,0.007669081446,0.1047754064,-0.994453609
1783948648,3086604,1783948648003086604,Pololu10,-1.050665021,-0.967977047,0.05152959749,-0.2027877211,-0.004466647282,0.01134981308,0.1011523753,-0.9947961569
1783948648,13030677,1783948648013030677,Pololu10,-1.049578309,-0.9682326317,0.05153864995,-0.1972960586,-0.004705289844,0.01521951798,0.09838528186,-0.995020926
1783948648,22680448,1783948648022680448,Pololu10,-1.048552036,-0.9685034156,0.05144198984,-0.1930447334,-0.006182340439,0.01408272702,0.09626081586,-0.9952372909
1783948648,33115393,1783948648033115393,Pololu10,-1.047499418,-0.9687476158,0.05147244781,-0.183740724,-0.005492344499,0.01773542725,0.09160411358,-0.9956223965
1783948648,42725771,1783948648042725771,Pololu10,-1.046380281,-0.9690023661,0.05163083598,-0.176911914,-0.005184288602,0.01742835157,0.08821315318,-0.9959357381
1783948648,52715990,1783948648052715990,Pololu10,-1.04546845,-0.969276309,0.05156810954,-0.1691940959,-0.005656943191,0.01632725261,0.0843731463,-0.9962844253
1783948648,63318402,1783948648063318402,Pololu10,-1.044637442,-0.9694587588,0.05154831707,-0.1643500473,-0.00654140301,0.01615640894,0.08194837719,-0.9964841604
1783948648,72758979,1783948648072758979,Pololu10,-1.0437181,-0.9696263671,0.05164176971,-0.1612582536,-0.00663481839,0.01650677621,0.08040299267,-0.9966037273
1783948648,82664404,1783948648082664404,Pololu10,-1.04265821,-0.9698112607,0.05170131475,-0.1563881877,-0.006556928623,0.01400785241,0.07800272852,-0.9968332052
1783948648,92841829,1783948648092841829,Pololu10,-1.041757226,-0.9700202942,0.05156101659,-0.1482109095,-0.007553843781,0.01240599807,0.07393026352,-0.9971576333
1783948648,103263213,1783948648103263213,Pololu10,-1.041016102,-0.97019732,0.05156579986,-0.1470195364,-0.007587236352,0.009793899953,0.07336182892,-0.9972284436
1783948648,112935847,1783948648112935847,Pololu10,-1.040273786,-0.9703392386,0.0516262427,-0.1451918118,-0.007196374238,0.01260929648,0.07242721319,-0.9972680807
1783948648,122548927,1783948648122548927,Pololu10,-1.039395213,-0.970477581,0.0516705066,-0.1381140846,-0.005213884171,0.0151372971,0.06890145689,-0.9974949956
1783948648,132723047,1783948648132723047,Pololu10,-1.038530231,-0.9705767632,0.05155890435,-0.1316972354,-0.004872557707,0.01897846721,0.06567487121,-0.9976486564
1783948648,143088583,1783948648143088583,Pololu10,-1.037646413,-0.970744729,0.05165521801,-0.1300747371,-0.00629176572,0.01428399794,0.06488402933,-0.9977707863
1783948648,152728119,1783948648152728119,Pololu10,-1.036960602,-0.970898807,0.05159160495,-0.1277379011,-0.007722876966,0.01115010306,0.06373030692,-0.9978750348
1783948648,162805191,1783948648162805191,Pololu10,-1.03616035,-0.9710130095,0.05162341148,-0.1218866573,-0.00733987242,0.01098924968,0.06081631407,-0.9980614781
